,underlying_price,base_volatility,skew,kurtosis
2019-07-12,21685.9,0.11094562857142858,0.025922799999999996,0.00497752857142858
2019-07-16,21535.25,0.1113199,0.022915199999999997,0.005114099999999996
2019-07-17,21469.18,0.11353098571428571,0.02971944285714284,0.004481821428571425
2019-07-18,21046.24,0.1368438857142857,0.040318742857142875,0.008599400000000007
2019-07-19,21466.99,0.12303714285714287,0.03992707142857141,0.005430821428571403
2019-07-22,21416.79,0.12791628571428573,0.03718898571428571,0.0071868214285714105
2019-07-23,21620.88,0.126663,0.028026899999999993,0.006533150000000015
2019-07-24,21709.57,0.12792685714285715,0.031125642857142838,0.006321821428571434
2019-07-25,21756.55,0.12889070000000002,0.024533928571428554,0.009091421428571417
2019-07-26,21658.15,0.13300922857142855,0.03872635714285716,0.006112350000000016
2019-07-29,21616.8,0.1377682857142857,0.036772285714285716,0.004109857142857165
2019-07-30,21709.31,0.1320044,0.03158310000000002,0.006429550000000006
2019-07-31,21521.53,0.14175708571428572,0.02173650000000002,0.006922678571428559
2019-08-01,21540.99,0.13496415714285714,0.03192394285714287,0.007044271428571447
2019-08-02,21087.16,0.16167858571428573,0.05545297142857142,0.006049699999999991
2019-08-05,20720.29,0.19371282857142857,0.07562320000000003,0.00836727142857141
2019-08-06,20585.31,0.2080767,0.07259539999999998,0.012072199999999977
2019-08-07,20516.56,0.20056358571428573,0.06460871428571427,0.00840615714285714
2019-08-08,20593.35,0.18364128571428573,0.060569214285714296,0.013008321428571445
2019-08-09,20684.82,0.170504,0.05214749999999996,0.004214750000000017
2019-08-13,20455.44,0.18755549999999999,0.077318,0.0069245
2019-08-14,20655.13,0.16571133333333335,0.05690794642857144,0.007803122023809533
2019-08-15,20405.65,0.18986914285714288,0.06358878571428567,0.006879178571428557
2019-08-16,20418.81,0.19600439285714288,0.06613991071428574,0.0058444732142856615
2019-08-19,20563.16,0.18245653571428572,0.04493339285714287,0.006333446428571421
2019-08-20,20677.22,0.15880824999999998,0.04688337500000003,0.00703306250000002
